ticker,date,direction,confidence,entry_price,stop_price,tp1,tp2,spread_cost_pct,slippage_pct,outcome,exit_price,r_multiple,hold_bars,set
AAPL,2021-07-14,BUY,25.2,145.7225,141.7602,150.5288,150.5288,0.03,0.05,STOP_HIT,140.2497,-1.3812,3,train
AAPL,2021-07-21,BUY,25.3,142.4291,137.1534,148.1343,148.1343,0.03,0.0,TP2_HIT,148.1343,1.0814,19,train
AAPL,2021-08-03,BUY,25.4,143.7989,139.4472,149.5379,149.5379,0.03,0.05,TP2_HIT,149.5379,1.3188,19,train
AAPL,2021-08-10,BUY,25.4,142.75,138.9279,146.7203,146.7203,0.03,0.0,TP2_HIT,146.7203,1.0388,4,train
AAPL,2021-08-17,BUY,25.3,146.4885,143.6262,150.9208,150.9208,0.03,0.05,STOP_HIT,143.6262,-1.0,1,train
AAPL,2021-08-25,BUY,25.2,145.0705,141.3682,149.7591,149.7591,0.03,0.05,TP2_HIT,149.7591,1.2664,3,train
AAPL,2021-09-01,BUY,25.2,150.4685,145.0118,154.3627,154.3627,0.03,0.05,STOP_HIT,145.0118,-1.0,8,train
AAPL,2021-09-09,BUY,25.1,151.4978,147.0082,155.2575,155.2575,0.03,0.0,STOP_HIT,147.0082,-1.0,1,train
AAPL,2021-11-18,BUY,18.0,154.3899,150.7465,159.4621,159.4621,0.03,0.05,TP2_HIT,159.4621,1.3921,2,train
AAPL,2021-11-26,BUY,23.2,155.9964,148.7161,159.7491,159.7491,0.03,0.0,TP2_HIT,159.7491,0.5155,2,train
AAPL,2021-12-03,BUY,24.6,160.8122,151.7981,167.1245,167.1245,0.03,0.0,TP2_HIT,167.1245,0.7003,2,train
AAPL,2021-12-10,BUY,24.5,177.3745,168.3235,185.2987,185.2987,0.03,0.05,STOP_HIT,168.3235,-1.0,4,train
AAPL,2021-12-17,BUY,23.9,164.7178,158.8142,179.0039,179.0039,0.03,0.0,TP2_HIT,179.0039,2.4199,11,train
AAPL,2021-12-27,BUY,23.8,176.4344,169.1102,186.2591,186.2591,0.03,0.05,STOP_HIT,168.9935,-1.0159,8,train
AAPL,2022-01-03,BUY,23.8,178.8533,171.9043,186.3695,186.3695,0.03,0.05,STOP_HIT,171.9043,-1.0,2,train
AAPL,2022-01-10,BUY,23.6,168.6722,163.356,175.3456,175.3456,0.03,0.0,STOP_HIT,163.356,-1.0,6,train
AAPL,2022-01-18,BUY,23.6,166.4013,160.8506,173.2291,173.2291,0.03,0.0,STOP_HIT,160.8506,-1.0,2,train
AAPL,2022-01-31,BUY,22.7,170.4116,163.1897,181.481,181.481,0.03,0.05,STOP_HIT,163.1897,-1.0,14,train
AAPL,2022-02-07,BUY,22.9,168.3089,160.5889,178.3244,178.3244,0.03,0.0,STOP_HIT,160.5889,-1.0,10,train
AAPL,2022-03-30,BUY,19.2,174.3842,168.1317,182.2357,182.2357,0.03,0.05,STOP_HIT,168.1317,-1.0,5,train
AAPL,2022-04-06,BUY,22.0,167.7502,162.7118,175.8825,175.8825,0.03,0.0,STOP_HIT,162.7118,-1.0,3,train
AAPL,2022-07-25,BUY,19.6,149.446,144.7638,157.164,157.164,0.03,0.0,TP2_HIT,157.164,1.6484,4,train
AAPL,2022-08-01,BUY,22.6,157.2196,152.7247,166.1479,166.1479,0.03,0.05,TP2_HIT,166.1479,1.9863,7,train
