ticker,date,direction,confidence,entry_price,stop_price,tp1,tp2,spread_cost_pct,slippage_pct,outcome,exit_price,r_multiple,hold_bars,set
AAPL,2021-08-10,BUY,25.4,142.75,138.9279,146.7203,151.1731,0.03,0.0,TP1_HIT,146.7203,1.0388,4,train
AAPL,2021-08-17,BUY,25.3,146.4885,143.6262,150.9208,155.0892,0.03,0.05,STOP_HIT,143.6262,-1.0,1,train
AAPL,2021-08-25,BUY,25.2,145.0705,141.3682,149.7591,154.5539,0.03,0.05,TP1_HIT,149.7591,1.2664,3,train
AAPL,2021-09-01,BUY,25.2,150.4685,145.0118,154.3627,159.7061,0.03,0.05,STOP_HIT,145.0118,-1.0,8,train
AAPL,2021-09-09,BUY,25.1,151.4978,147.0082,155.2575,159.9714,0.03,0.0,STOP_HIT,147.0082,-1.0,1,train
AAPL,2021-11-26,BUY,23.2,155.9964,148.7161,159.7491,166.0537,0.03,0.0,TP1_HIT,159.7491,0.5155,2,train
AAPL,2021-12-03,BUY,24.6,160.8122,151.7981,167.1245,175.8824,0.03,0.0,TP1_HIT,167.1245,0.7003,2,train
AAPL,2021-12-10,BUY,24.5,177.3745,168.3235,185.2987,194.9988,0.03,0.05,STOP_HIT,168.3235,-1.0,4,train
AAPL,2021-12-17,BUY,23.9,164.7178,158.8142,179.0039,190.5409,0.03,0.0,TP1_HIT,179.0039,2.4199,11,train
AAPL,2021-12-27,BUY,23.8,176.4344,169.1102,186.2591,196.0584,0.03,0.05,STOP_HIT,168.9935,-1.0159,8,train
AAPL,2022-01-03,BUY,23.8,178.8533,171.9043,186.3695,194.6354,0.03,0.05,STOP_HIT,171.9043,-1.0,2,train
AAPL,2022-01-10,BUY,23.6,168.6722,163.356,175.3456,182.1968,0.03,0.0,STOP_HIT,163.356,-1.0,6,train
AAPL,2022-01-18,BUY,23.6,166.4013,160.8506,173.2291,180.3026,0.03,0.0,STOP_HIT,160.8506,-1.0,2,train
AAPL,2022-01-31,BUY,22.7,170.4116,163.1897,181.481,191.9332,0.03,0.05,STOP_HIT,163.1897,-1.0,14,train
AAPL,2022-02-07,BUY,22.9,168.3089,160.5889,178.3244,188.459,0.03,0.0,STOP_HIT,160.5889,-1.0,10,train
AAPL,2022-08-08,BUY,23.1,161.2123,156.5923,169.2082,176.4172,0.03,0.0,TP1_HIT,169.2082,1.7307,5,train
AAPL,2022-08-15,BUY,23.5,169.9072,164.7011,177.4718,184.7694,0.03,0.05,STOP_HIT,164.7011,-1.0,5,train
AAPL,2022-08-22,BUY,23.8,164.2199,159.8171,171.0989,177.5457,0.03,0.0,STOP_HIT,158.3439,-1.3346,5,train
AAPL,2022-08-29,BUY,23.9,159.3546,153.7914,164.9413,171.3126,0.03,0.0,STOP_HIT,153.7914,-1.0,3,train
AAPL,2022-09-06,BUY,23.8,152.1698,146.4469,159.0289,166.2186,0.03,0.0,TP1_HIT,159.0289,1.1985,4,train
AAPL,2022-09-20,BUY,22.7,154.7239,147.3343,163.2793,172.3906,0.03,0.05,STOP_HIT,147.3343,-1.0,3,train
AAPL,2023-02-16,BUY,21.6,150.2195,145.6623,159.3186,167.1222,0.03,0.0,STOP_HIT,145.6623,-1.0,3,train
AAPL,2023-02-28,BUY,23.1,144.7767,140.7944,151.3191,157.3332,0.03,0.0,TP1_HIT,151.3191,1.6429,4,train
AAPL,2023-03-07,BUY,23.4,150.7483,144.6339,155.8366,162.2382,0.03,0.05,TP1_HIT,155.8366,0.8322,10,train
AAPL,2023-03-15,BUY,23.4,150.1071,145.6778,157.6419,164.4786,0.03,0.05,TP1_HIT,157.6419,1.7011,5,train
AAPL,2023-03-22,BUY,23.8,156.6871,149.9692,163.0521,170.5281,0.03,0.05,TP1_HIT,163.0521,0.9475,8,train
AAPL,2023-03-29,BUY,23.9,159.3507,153.3298,165.3334,172.1926,0.03,0.05,TP1_HIT,165.3334,0.9936,14,train
AAPL,2023-04-05,BUY,24.2,160.1585,157.1009,167.1823,172.9432,0.03,0.0,TP1_HIT,167.1823,2.2972,16,train
AAPL,2023-04-13,BUY,24.3,162.3694,158.8561,168.9819,174.7681,0.03,0.05,TP1_HIT,168.9819,1.8822,16,train
AAPL,2023-04-20,BUY,24.9,162.8232,160.145,169.7705,175.2708,0.03,0.05,TP1_HIT,169.7705,2.594,11,train
AAPL,2023-04-27,BUY,25.1,166.2168,161.8745,171.5124,177.0198,0.03,0.05,TP1_HIT,171.5124,1.2196,6,train
AAPL,2023-05-04,BUY,25.1,168.5889,159.6531,168.4482,173.474,0.03,0.0,TP1_HIT,168.4482,-0.0157,1,train
AAPL,2023-05-11,BUY,25.1,171.5145,166.8405,177.1733,183.0777,0.03,0.05,TP1_HIT,177.1733,1.2107,14,train
AAPL,2023-05-18,BUY,25.2,174.2509,168.5944,178.3816,183.9742,0.03,0.05,STOP_HIT,168.5944,-1.0,4,train
AAPL,2023-05-25,BUY,25.7,171.1326,167.5988,174.9645,179.1735,0.03,0.0,TP1_HIT,174.9645,1.0844,2,train
AAPL,2023-06-02,BUY,25.9,180.4152,175.1142,183.2774,187.9421,0.03,0.05,STOP_HIT,175.1142,-1.0,3,train
AAPL,2023-06-12,BUY,25.7,180.5832,176.8546,187.4978,193.5797,0.03,0.05,TP1_HIT,187.4978,1.8545,12,train
AAPL,2023-06-20,BUY,25.8,182.6577,178.2852,188.4003,194.1804,0.03,0.05,TP1_HIT,188.4003,1.3133,8,train
AAPL,2023-06-27,BUY,25.8,185.6509,181.6353,190.9583,196.2857,0.03,0.05,TP1_HIT,190.9583,1.3217,3,train
AAPL,2023-07-05,BUY,25.9,187.5378,184.935,194.0902,199.3217,0.03,0.05,STOP_HIT,184.935,-1.0,3,train
AAPL,2023-07-12,BUY,25.9,188.0957,183.0916,192.955,198.5913,0.03,0.0,TP1_HIT,192.955,0.9711,5,train
AAPL,2023-07-19,BUY,25.9,192.7241,188.3612,198.2049,203.8299,0.03,0.05,STOP_HIT,188.3612,-1.0,11,train
AAPL,2023-07-27,BUY,25.8,192.3092,186.1353,196.8427,202.9612,0.03,0.05,STOP_HIT,183.1237,-1.4878,6,train
AAPL,2023-08-03,BUY,25.8,183.1786,184.2377,194.6514,200.6021,0.03,0.0,STOP_HIT,183.1237,-0.0519,1,train
AAPL,2023-12-01,BUY,25.5,188.1771,185.9122,193.7558,198.2378,0.03,0.05,STOP_HIT,185.9122,-1.0,1,train
AAPL,2023-12-08,BUY,25.7,191.2774,189.9026,198.7581,203.8184,0.03,0.05,STOP_HIT,189.9026,-1.0,1,train
AAPL,2023-12-15,BUY,25.8,194.2291,191.1793,201.3512,207.1636,0.03,0.05,STOP_HIT,191.1793,-1.0,5,train
AAPL,2023-12-22,BUY,25.9,191.6769,187.2437,197.4304,203.2514,0.03,0.0,STOP_HIT,185.2258,-1.4552,5,train
AAPL,2024-01-02,BUY,24.2,182.3806,179.4313,189.4646,195.1979,0.03,0.0,STOP_HIT,179.4313,-1.0,2,train
AAPL,2024-01-22,BUY,19.4,193.1693,186.2095,199.4791,207.0618,0.03,0.05,STOP_HIT,186.2095,-1.0,6,train
AAPL,2024-05-28,BUY,25.1,188.2113,184.4083,194.03,199.5281,0.03,0.0,TP1_HIT,194.03,1.5301,6,train
