ticker,date,direction,confidence,entry_price,stop_price,tp1,tp2,spread_cost_pct,slippage_pct,outcome,exit_price,r_multiple,hold_bars,set
AAPL,2022-03-18,SELL,23.5,160.1565,168.0932,150.7608,140.8566,0.03,0.0,STOP_HIT,168.0932,-1.0,3,train
AAPL,2022-05-31,SELL,37.1,147.0413,154.9563,134.1641,122.2829,0.03,0.0,TP1_HIT,134.1641,1.6269,9,train
AAPL,2022-06-24,SELL,37.5,139.9787,145.43,130.4271,121.8541,0.03,0.0,STOP_HIT,145.43,-1.0,11,train
AAPL,2022-07-01,SELL,37.6,135.1427,142.6955,127.8226,119.3238,0.03,0.0,STOP_HIT,142.6955,-1.0,3,train
AAPL,2022-07-11,SELL,37.4,142.9803,147.9164,134.4613,126.7727,0.03,0.0,STOP_HIT,147.9164,-1.0,4,train
AAPL,2022-07-18,SELL,30.0,145.0991,150.3264,136.2851,128.2614,0.03,0.0,STOP_HIT,150.3264,-1.0,2,train
AAPL,2022-10-21,SELL,36.1,144.5836,151.3528,135.8427,126.9797,0.03,0.0,STOP_HIT,151.3528,-1.0,5,train
AAPL,2022-10-28,SELL,36.6,150.4479,160.7091,142.7867,132.5454,0.03,0.0,TP1_HIT,142.7867,0.7466,3,train
AAPL,2022-11-11,SELL,21.7,146.5748,156.5241,135.0881,122.839,0.03,0.0,EXPIRED,142.2095,0.4388,20,train
AAPL,2022-11-21,SELL,21.2,145.6755,153.5014,135.2374,124.8008,0.03,0.05,TP1_HIT,135.2374,1.3338,17,train
AAPL,2023-01-11,SELL,36.9,131.7275,137.3317,123.4518,115.5204,0.03,0.0,STOP_HIT,137.3317,-1.0,7,train
AAPL,2023-01-25,SELL,26.1,140.8681,144.843,132.6584,125.6958,0.03,0.0,STOP_HIT,144.843,-1.0,2,train
AAPL,2023-02-01,SELL,21.0,146.4327,148.2069,136.3717,129.6087,0.03,0.05,STOP_HIT,148.2069,-1.0,1,train
AAPL,2023-10-05,SELL,33.9,171.7352,177.9079,166.1852,159.4866,0.03,0.0,STOP_HIT,177.9841,-1.0124,5,train
AAPL,2023-10-12,SELL,24.2,179.2647,183.4945,172.1129,165.6091,0.03,0.0,TP1_HIT,172.1129,1.6908,6,train
AAPL,2024-04-26,SELL,33.4,171.7549,172.6328,161.2935,154.8139,0.03,0.0,STOP_HIT,172.6328,-1.0,1,train
AAPL,2025-03-06,SELL,33.2,233.9025,242.4984,223.3892,212.4697,0.03,0.05,TP1_HIT,223.3892,1.223,2,train
AAPL,2025-03-27,SELL,27.7,220.6419,232.3377,210.2664,197.6543,0.03,0.0,TP1_HIT,210.2664,0.8871,5,train
